,NAME,NUM_REVIEWS
0,Drugs.Cannabis.Synthetics,5699
1,Drugs.Psychedelics.LSD,91746
2,Drugs.Stimulants.Cocaine,140169
3,Drugs.Opioids.Oxycodone,31000
4,Drugs.Benzos,152744
5,Drugs.Prescription,106236
6,Info/eBooks.Makingmoney,26719
7,Electronics,6978
8,Drugs.Opioids.Heroin,66719
9,Drugs.Stimulants.Speed,64860
10,Drugs.Opioids.Other,16643
11,Drugs.Steroids,52357
12,Info/eBooks.Other,50197
13,Drugs.Psychedelics.DMT,28999
14,Drugs.Cannabis.Hash,62824
15,Information.eBooks,16850
16,Drugs.Ecstasy.Pills,68622
17,Drugs.Ecstasy.MDMA,134228
18,Info/eBooks.Science,2354
19,Drugs.Cannabis.Edibles,44994
20,Drugs.Psychedelics.5-MeO,3040
21,Drugs.Ecstasy.Other,8415
22,Counterfeits.Watches,3762
23,Drugs.Psychedelics.Mescaline,4020
24,Counterfeits.Clothing,606
25,Forgeries.Other,2118
26,Drugs.Psychedelics.Spores,2139
27,Drugs.Opioids.Hydromorphone,4146
28,Drugs.Opioids.Fentanyl,16087
29,Info/eBooks.Drugs,6158
30,Drugs.Cannabis.Weed,317558
31,Data.Accounts,46359
32,Information.Guides,11961
33,Services.Money,22379
34,Drugs.Cannabis.Concentrates,56286
35,Jewelry,1179
36,Drugs.Other,9977
37,Drugs.RCs,25408
38,Forgeries.Physicaldocuments,6261
39,Info/eBooks.Philosophy,482
40,Tobacco.Smoked,5734
41,Data.Software,6864
42,Drugs.Psychedelics.2C,22469
43,Drugs.Stimulants.Prescription,31149
44,Drugparaphernalia.Grinders,344
45,Services.Other,9995
46,Drugs.Weightloss,7451
47,Info/eBooks.IT,4578
48,Drugs.Cannabis.Seeds,5391
49,Other,13372
50,Drugs.Psychedelics.Mushrooms,26870
51,Info/eBooks.Politics,1492
52,Counterfeits.Accessories,1086
53,Services.Hacking,7779
54,Drugs.Stimulants.Meth,60580
55,Drugs.Dissociatives.MXE,12352
56,Weapons.Non-lethalfirearms,352
57,Drugs.Opioids.Opium,2763
58,Self-defense,665
59,Drugparaphernalia.Stashes,2072
60,Counterfeits.Money,12047
61,Info/eBooks.Anonymity,10870
62,Services.Travel,27
63,Drugs.Psychedelics.NB,27454
64,Drugs.Opioids.Morphine,4470
65,Weapons.Lethalfirearms,408
66,Drugs.Opioids.Buprenorphine,7312
67,Data.Pirated,14331
68,Tobacco.Paraphernalia,654
69,Drugs.Dissociatives.Ketamine,24795
70,Drugparaphernalia.Scales,1049
71,Drugs.Dissociatives.Other,907
72,Forgeries.Scans/Photos,5265
73,Listings,3346
74,Weapons.Melee,855
75,Drugs.Psychedelics.Other,4849
76,Drugs.Opioids.Hydrocodone,8697
77,Drugs.Ecstasy.MDA,7751
78,Drugs.Opioids.Codeine,2037
79,Info/eBooks.Psychology,1927
80,Counterfeits.Electronics,321
81,Drugparaphernalia.Pipes,6405
82,Drugs.Stimulants.Mephedrone,2728
83,Weapons.Ammunition,495
84,Services.Advertising,2358
85,Drugparaphernalia.Containers,1162
86,Chemicals,240
87,Drugs.Opioids.Dihydrocodeine,2045
88,Drugs.Dissociatives.GHB,9246
89,Info/eBooks.Economy,492
90,Drugs.Opioids,8771
91,Info/eBooks.Doomsday,822
92,Drugs.Dissociatives.GBL,1601
93,Drugs.Disassociatives.GHB,0
94,Info/eBooks.Relationships/Sex,2286
95,Drugs.Cannabis.Shake/trim,5087
96,Drugs.Barbiturates,1040
97,Drugparaphernalia.Paper,247
98,Drugparaphernalia.Injectingequipment.Syringes,2608
99,Info/eBooks.Aliens/UFOs,507
100,Drugparaphernalia.Injectingequipment.Other,46
101,Drugparaphernalia.Injectingequipment.Needles,530
102,Drugs.Psychedelics.Salvia,1741
103,Drugs.Psychedelics.Others,886
104,Drugs.Dissociatives.PCP,110
105,Weapons.Fireworks,77
106,Drugs.Disassociatives.MXE,799
107,Drugs.Disassociatives.Ketamine,492
108,Forgeries,113
109,Drugparaphernalia.Injectingequipment.Filters,10
110,Fireworks,27
111,Drugs.Ecstasy,0
112,Drugs.Disassociatives.Other,27
113,Drugs.Disassociatives.GBL,0
114,custom.benzocaine,0
115,custom.cocaleaves,0
